,Pays,Annee,Type_contenu,Prox_moyenne,Moyenne,Ecart_type,prox_harmonisee
5211,Lettonie,2015,stats,-0.07494197105647067,-0.06736048771311623,0.06452418302500387,-0.058749161848485
5212,Liban,2015,stats,-0.006751664696272197,-0.06736048771311623,0.06452418302500387,0.46965974751944867
5213,Liberia,2015,stats,0.02377269346337691,-0.06736048771311623,0.06452418302500387,0.7061939950574652
5214,Libye,2015,stats,-0.02655491125495882,-0.06736048771311623,0.06452418302500387,0.31620374365952664
5215,Liechtenstein,2015,stats,-0.0500838777302162,-0.06736048771311623,0.06452418302500387,0.13387701457765952
5216,Lituanie,2015,stats,-0.058754176279717935,-0.06736048771311623,0.06452418302500387,0.06669058816338091
5217,Luxembourg,2015,stats,0.022339350318248897,-0.06736048771311623,0.06452418302500387,0.6950869722488806
5218,Macédoine,2015,stats,-0.14619736999590896,-0.06736048771311623,0.06452418302500387,-0.6109095736418896
5219,Madagascar,2015,stats,-0.11322266036206699,-0.06736048771311623,0.06452418302500387,-0.35538747256341574
5220,Malaisie,2015,stats,-0.08474427693073794,-0.06736048771311623,0.06452418302500387,-0.13470754996529974
5221,Malawi,2015,stats,-0.07475587974327344,-0.06736048771311623,0.06452418302500387,-0.05730713418945119
5222,Maldives,2015,stats,-0.1723588728081231,-0.06736048771311623,0.06452418302500387,-0.8136359127113532
5223,Mali,2015,stats,0.057562198761940755,-0.06736048771311623,0.06452418302500387,0.968029974332631
5224,Malte,2015,stats,-0.15733678184143085,-0.06736048771311623,0.06452418302500387,-0.6972292395662549
5225,Maroc,2015,stats,-0.04145522844210125,-0.06736048771311623,0.06452418302500387,0.2007406995062331
5226,Mauritanie,2015,stats,-0.03241042992987275,-0.06736048771311623,0.06452418302500387,0.2708291383534443
5227,Mexique,2015,stats,-0.0985103742538077,-0.06736048771311623,0.06452418302500387,-0.24138148737676013
5228,Micronésie,2015,stats,-0.09541669703218796,-0.06736048771311623,0.06452418302500387,-0.2174084816246307
5229,Moldavie,2015,stats,-0.09495325982008523,-0.06736048771311623,0.06452418302500387,-0.21381729154382692
5230,Monaco,2015,stats,-0.10800216405893183,-0.06736048771311623,0.06452418302500387,-0.31493367634012875
5231,Mongolie,2015,stats,-0.07538616139913337,-0.06736048771311623,0.06452418302500387,-0.06219120730987869
5232,Monténégro,2015,stats,-0.15893487285760072,-0.06736048771311623,0.06452418302500387,-0.7096128990040707
5233,Mozambique,2015,stats,0.017524441539445323,-0.06736048771311623,0.06452418302500387,0.657776086987941
5234,Namibie,2015,stats,-0.14022326848578373,-0.06736048771311623,0.06452418302500387,-0.5646160660758178
5235,Nauru,2015,stats,0.047364461493580846,-0.06736048771311623,0.06452418302500387,0.8890073754381346
5236,Nicaragua,2015,stats,-0.10737654019920774,-0.06736048771311623,0.06452418302500387,-0.3100856966339645
5237,Niger,2015,stats,-0.029777378533692066,-0.06736048771311623,0.06452418302500387,0.291232739551776
5238,Nigeria,2015,stats,-0.03499496793233791,-0.06736048771311623,0.06452418302500387,0.25080146902624323
5239,Niue,2015,stats,-0.09643484875771743,-0.06736048771311623,0.06452418302500387,-0.22529817257302234
5240,Norvège,2015,stats,-0.0675916297618684,-0.06736048771311623,0.06452418302500387,-0.001791127279074594
5241,Nouvelle-Zélande,2015,stats,-0.10679329928820443,-0.06736048771311623,0.06452418302500387,-0.3055661437806002
5242,Népal,2015,stats,-0.10133893025116071,-0.06736048771311623,0.06452418302500387,-0.26330006010984625
